Vehicle ID; Next Stop ID; Updated At; Scheduled Arrival; Predicted Arrival
39424626;11771;2019-01-09T09:55:10-05:00;2019-01-09T09:56:00-05:00;2019-01-09T09:56:02-05:00
39424610;2531;2019-01-09T09:55:10-05:00;2019-01-09T09:51:00-05:00;2019-01-09T09:55:35-05:00
39424625;31317;2019-01-09T09:56:15-05:00;2019-01-09T09:52:00-05:00;2019-01-09T09:56:36-05:00
39425389;11803;2019-01-09T09:55:33-05:00;2019-01-09T09:56:00-05:00;2019-01-09T09:56:35-05:00
39424610;2774;2019-01-09T09:56:12-05:00;2019-01-09T09:53:00-05:00;2019-01-09T09:56:48-05:00
39424610;2774;2019-01-09T09:57:00-05:00;2019-01-09T09:53:00-05:00;2019-01-09T09:56:47-05:00
39425389;11803;2019-01-09T09:57:33-05:00;2019-01-09T09:56:00-05:00;null
39424625;1784;2019-01-09T09:58:06-05:00;2019-01-09T09:55:00-05:00;2019-01-09T09:58:03-05:00
39424610;2778;2019-01-09T09:58:07-05:00;2019-01-09T09:55:00-05:00;2019-01-09T09:59:03-05:00
39424625;17861;2019-01-09T09:59:05-05:00;2019-01-09T10:00:00-05:00;2019-01-09T10:00:03-05:00
39425389;11803;2019-01-09T09:58:33-05:00;2019-01-09T09:56:00-05:00;null
39424610;2777;2019-01-09T09:59:08-05:00;2019-01-09T09:56:00-05:00;2019-01-09T09:59:30-05:00
39424610;2874;2019-01-09T10:00:01-05:00;2019-01-09T10:00:00-05:00;2019-01-09T10:02:57-05:00
39424610;2874;2019-01-09T10:01:04-05:00;2019-01-09T10:00:00-05:00;2019-01-09T10:02:47-05:00
39425389;1807;2019-01-09T10:00:53-05:00;2019-01-09T10:01:00-05:00;2019-01-09T10:02:42-05:00
39424626;1775;2019-01-09T10:02:00-05:00;2019-01-09T10:04:00-05:00;2019-01-09T10:03:37-05:00
39424610;2874;2019-01-09T10:02:05-05:00;2019-01-09T10:00:00-05:00;2019-01-09T10:03:13-05:00
39425384;28741;2019-01-09T10:03:05-05:00;2019-01-09T10:10:00-05:00;null
39425389;1807;2019-01-09T10:02:53-05:00;2019-01-09T10:01:00-05:00;null
39424626;1775;2019-01-09T10:03:55-05:00;2019-01-09T10:04:00-05:00;2019-01-09T10:03:34-05:00
39425384;28741;2019-01-09T10:03:26-05:00;2019-01-09T10:10:00-05:00;null
39425389;1809;2019-01-09T10:04:22-05:00;2019-01-09T10:03:00-05:00;2019-01-09T10:04:34-05:00
39425384;28741;2019-01-09T10:04:26-05:00;2019-01-09T10:10:00-05:00;null
39424626;1778;2019-01-09T10:06:14-05:00;2019-01-09T10:08:00-05:00;2019-01-09T10:06:59-05:00
39425384;28741;2019-01-09T10:06:13-05:00;2019-01-09T10:10:00-05:00;null
39425389;21772;2019-01-09T10:06:49-05:00;2019-01-09T10:09:00-05:00;2019-01-09T10:08:38-05:00
